Wavelength(nm),Slot0Ch1,Slot0Ch3,Monitor
1507.7,-1.0566803216934204,-34.278438568115234,-5.597198009490967
1507.8,-1.0615428686141968,-34.45302200317383,-5.5890398025512695
1507.9,-1.0624884366989136,-34.43144989013672,-5.592275619506836
1508.0,-1.0643988847732544,-34.404781341552734,-5.59836483001709
1508.1,-1.0672953128814697,-34.4111328125,-5.583351135253906
1508.2,-1.0667904615402222,-34.475521087646484,-5.571480751037598
1508.3,-1.065755844116211,-34.56842041015625,-5.584514141082764
1508.4,-1.0693563222885132,-34.54182434082031,-5.581413745880127
1508.5,-1.0706266164779663,-34.46452331542969,-5.567745685577393
1508.6,-1.0660710334777832,-34.44517517089844,-5.575477123260498
1508.7,-1.0656726360321045,-34.5462760925293,-5.586324214935303
1508.8,-1.0700182914733887,-34.68668746948242,-5.583738803863525
1508.9,-1.0758521556854248,-34.66891098022461,-5.581284523010254
1509.0,-1.0811711549758911,-34.64405822753906,-5.597068786621094
1509.1,-1.0885611772537231,-34.767356872558594,-5.597846508026123
1509.2,-1.0955849885940552,-34.639793395996094,-5.5841264724731445
1509.3,-1.099312663078308,-34.58146667480469,-5.587100028991699
1509.4,-1.1024141311645508,-34.57908248901367,-5.601866722106934
1509.5,-1.1045721769332886,-34.50014877319336,-5.600050926208496
1509.6,-1.1056100130081177,-34.470130920410156,-5.591498851776123
1509.7,-1.1037582159042358,-34.52061080932617,-5.614080905914307
1509.8,-1.1006921529769897,-34.60935592651367,-5.613170146942139
1509.9,-1.1001650094985962,-34.564476013183594,-5.599791526794434
1510.0,-1.096614956855774,-34.548439025878906,-5.604981899261475
1510.1,-1.0903818607330322,-34.59806823730469,-5.61108922958374
1510.2,-1.0877407789230347,-34.59625244140625,-5.608359336853027
1510.3,-1.0860260725021362,-34.59688949584961,-5.599661827087402
1510.4,-1.0809812545776367,-34.58295440673828,-5.6036834716796875
1510.5,-1.0756300687789917,-34.4848747253418,-5.60589075088501
1510.6,-1.0766351222991943,-34.392616271972656,-5.59382963180542
1510.7,-1.0751478672027588,-34.4452018737793,-5.582963466644287
1510.8,-1.068479299545288,-34.5532341003418,-5.59253454208374
1510.9,-1.0678186416625977,-34.48398971557617,-5.587487697601318
1511.0,-1.0710033178329468,-34.48360824584961,-5.576379776000977
1511.1,-1.0700037479400635,-34.50401306152344,-5.580380439758301
1511.2,-1.0706701278686523,-34.51893997192383,-5.586582660675049
1511.3,-1.0784674882888794,-34.57489776611328,-5.581413745880127
1511.4,-1.0829665660858154,-34.5654182434082,-5.57715368270874
1511.5,-1.0809382200241089,-34.48277282714844,-5.58528995513916
1511.6,-1.0836849212646484,-34.45116424560547,-5.59382963180542
1511.7,-1.0874733924865723,-34.4777717590332,-5.581671714782715
1511.8,-1.0861965417861938,-34.56886291503906,-5.583351135253906
1511.9,-1.0856409072875977,-34.74428939819336,-5.597068786621094
1512.0,-1.0888739824295044,-34.75391387939453,-5.601996898651123
1512.1,-1.0847402811050415,-34.74607849121094,-5.5942182540893555
1512.2,-1.0739537477493286,-34.717002868652344,-5.602385997772217
1512.3,-1.0688934326171875,-34.66389083862305,-5.610048770904541
1512.4,-1.0635493993759155,-34.654415130615234,-5.5890398025512695
1512.5,-1.0546455383300781,-34.58631134033203,-5.582447052001953
1512.6,-1.0482771396636963,-34.523040771484375,-5.593052387237549
1512.7,-1.0442391633987427,-34.54283142089844,-5.583738803863525
1512.8,-1.0408880710601807,-34.5505256652832,-5.567745685577393
1512.9,-1.0413553714752197,-34.560909271240234,-5.571352005004883
1513.0,-1.0498013496398926,-34.655601501464844,-5.581026077270508
1513.1,-1.057554006576538,-34.6422233581543,-5.566458225250244
1513.2,-1.0595951080322266,-34.60173034667969,-5.560413837432861
1513.3,-1.0599380731582642,-34.65916442871094,-5.572511672973633
1513.4,-1.0596222877502441,-34.71967315673828,-5.568260669708252
1513.5,-1.0565325021743774,-34.668209075927734,-5.548477649688721
1513.6,-1.0530478954315186,-34.690589904785156,-5.555019378662109
1513.7,-1.0524003505706787,-34.760982513427734,-5.564013481140137
1513.8,-1.0519927740097046,-34.69920349121094,-5.549246788024902
1513.9,-1.0528780221939087,-34.60417938232422,-5.543737888336182
1514.0,-1.056458592414856,-34.567501068115234,-5.559000492095947
1514.1,-1.059601068496704,-34.4964599609375,-5.557458877563477
1514.2,-1.0600781440734863,-34.46748352050781,-5.541177749633789
1514.3,-1.0565658807754517,-34.5011100769043,-5.542713642120361
1514.4,-1.0500197410583496,-34.42926025390625,-5.548349380493164
1514.5,-1.0433419942855835,-34.44334411621094,-5.530059814453125
1514.6,-1.0405958890914917,-34.48714065551758,-5.513627529144287
1514.7,-1.0372687578201294,-34.42537307739258,-5.526360511779785
1514.8,-1.035571813583374,-34.401893615722656,-5.5261054039001465
1514.9,-1.0387812852859497,-34.50743103027344,-5.516170978546143
1515.0,-1.0393030643463135,-34.64457321166992,-5.525722980499268
1515.1,-1.0407358407974243,-34.58961486816406,-5.53478479385376
1515.2,-1.0450245141983032,-34.52256393432617,-5.53171968460083
1515.3,-1.044697880744934,-34.45816421508789,-5.528018474578857
1515.4,-1.0392805337905884,-34.34855270385742,-5.540282249450684
1515.5,-1.0379726886749268,-34.31462860107422,-5.543737888336182
1515.6,-1.0400424003601074,-34.35974884033203,-5.531081199645996
1515.7,-1.037785530090332,-34.36237716674805,-5.526232719421387
1515.8,-1.0355454683303833,-34.37076187133789,-5.537468910217285
1515.9,-1.034319281578064,-34.36917495727539,-5.523555755615234
1516.0,-1.0293164253234863,-34.29373550415039,-5.504863262176514
1516.1,-1.0219848155975342,-34.28861618041992,-5.513118743896484
1516.2,-1.0198147296905518,-34.374961853027344,-5.513881683349609
1516.3,-1.0175772905349731,-34.38166809082031,-5.498776912689209
1516.4,-1.0074135065078735,-34.3485221862793,-5.492065906524658
1516.5,-1.0021485090255737,-34.450172424316406,-5.499536991119385
1516.6,-1.0020490884780884,-34.40233612060547,-5.498903274536133
1516.7,-1.0007377862930298,-34.265228271484375,-5.487514019012451
1516.8,-0.9995036125183105,-34.272850036621094,-5.497636318206787
1516.9,-1.0049030780792236,-34.37051773071289,-5.51261043548584
1517.0,-1.010611653327942,-34.42627716064453,-5.505878448486328
1517.1,-1.0114974975585938,-34.38103103637695,-5.51273775100708
1517.2,-1.0170292854309082,-34.382476806640625,-5.528656482696533
1517.3,-1.0235791206359863,-34.40232467651367,-5.524575233459473
1517.4,-1.0237512588500977,-34.36441421508789,-5.517951965332031
1517.5,-1.0245046615600586,-34.37726593017578,-5.533507347106934
1517.6,-1.0309996604919434,-34.46072006225586,-5.540026664733887
1517.7,-1.0362733602523804,-34.485355377197266,-5.529804706573486
1517.8,-1.040610432624817,-34.40923309326172,-5.536062717437744
1517.9,-1.0476508140563965,-34.388004302978516,-5.551811218261719
1518.0,-1.0516445636749268,-34.360477447509766,-5.544250011444092
1518.1,-1.0506666898727417,-34.311153411865234,-5.531591892242432
1518.2,-1.0504521131515503,-34.2838249206543,-5.544378280639648
1518.3,-1.0535993576049805,-34.296180725097656,-5.553094387054443
1518.4,-1.0545865297317505,-34.41736602783203,-5.5432257652282715
1518.5,-1.0528085231781006,-34.421302795410156,-5.548093318939209
1518.6,-1.0546889305114746,-34.44904708862305,-5.571866989135742
1518.7,-1.0555413961410522,-34.5201416015625,-5.57818603515625
1518.8,-1.0520225763320923,-34.522098541259766,-5.5662007331848145
1518.9,-1.051052451133728,-34.518653869628906,-5.575477123260498
1519.0,-1.0542248487472534,-34.43590545654297,-5.584901809692383
1519.1,-1.0559526681900024,-34.43312072753906,-5.568260669708252
1519.2,-1.055430293083191,-34.359275817871094,-5.562727451324463
1519.3,-1.0585308074951172,-34.23575973510742,-5.576121807098389
1519.4,-1.0600323677062988,-34.27884292602539,-5.5634989738464355
1519.5,-1.057069182395935,-34.275150299072266,-5.548861980438232
1519.6,-1.05441153049469,-34.21516799926758,-5.5579729080200195
1519.7,-1.052237868309021,-34.1982307434082,-5.556046485900879
1519.8,-1.0470768213272095,-34.15382766723633,-5.537596702575684
1519.9,-1.040708065032959,-34.18651580810547,-5.534912586212158
1520.0,-1.0355932712554932,-34.261043548583984,-5.549887657165527
1520.1,-1.027156949043274,-34.319801330566406,-5.535423755645752
1520.2,-1.017820119857788,-34.321205139160156,-5.519352912902832
1520.3,-1.0110682249069214,-34.25202178955078,-5.5231733322143555
1520.4,-1.004736065864563,-34.18986892700195,-5.519225597381592
1520.5,-0.9987086653709412,-34.18819808959961,-5.502072334289551
1520.6,-0.9963083863258362,-34.271995544433594,-5.501692295074463
1520.7,-0.9977583885192871,-34.3804931640625,-5.512228965759277
1520.8,-0.9992882609367371,-34.36487579345703,-5.497129917144775
1520.9,-0.9997997879981995,-34.35554885864258,-5.487008571624756
1521.0,-1.0000768899917603,-34.40068435668945,-5.507020950317383
1521.1,-0.9992969632148743,-34.426937103271484,-5.50524377822876
1521.2,-0.9970787763595581,-34.47815704345703,-5.493710994720459
1521.3,-0.9918328523635864,-34.39393997192383,-5.493584632873535
1521.4,-0.9894822239875793,-34.35942840576172,-5.502199172973633
1521.5,-0.9902955293655396,-34.52585220336914,-5.481704235076904
1521.6,-0.9890448451042175,-34.614768981933594,-5.4805684089660645
1521.7,-0.9879161715507507,-34.501712799072266,-5.492319107055664
1521.8,-0.9884858727455139,-34.38483810424805,-5.48549222946167
1521.9,-0.9897365570068359,-34.43854904174805,-5.4718708992004395
1522.0,-0.9892957806587219,-34.44462585449219,-5.472122669219971
1522.1,-0.9888787269592285,-34.3997917175293,-5.474894046783447
1522.2,-0.9884462952613831,-34.43495559692383,-5.462184906005859
1522.3,-0.985989511013031,-34.4954948425293,-5.460677623748779
1522.4,-0.9840567708015442,-34.561561584472656,-5.470989227294922
1522.5,-0.986246645450592,-34.62107849121094,-5.469352722167969
1522.6,-0.9905473589897156,-34.60000991821289,-5.459421634674072
1522.7,-0.9907335638999939,-34.62334442138672,-5.47401237487793
1522.8,-0.9930422306060791,-34.65925216674805,-5.492319107055664
1522.9,-0.9975513815879822,-34.46931076049805,-5.4732561111450195
1523.0,-0.9990592002868652,-34.31856918334961,-5.4805684089660645
1523.1,-1.0017225742340088,-34.32357406616211,-5.499410152435303
1523.2,-1.0064499378204346,-34.423648834228516,-5.491559982299805
1523.3,-1.007851481437683,-34.393646240234375,-5.485618591308594
1523.4,-1.0081787109375,-34.28363800048828,-5.501311779022217
1523.5,-1.010313630104065,-34.2899169921875,-5.513373374938965
1523.6,-1.008535623550415,-34.29050827026367,-5.500297546386719
1523.7,-1.0022591352462769,-34.34907150268555,-5.504482746124268
1523.8,-0.9991117119789124,-34.48212432861328,-5.510958194732666
1523.9,-1.0001317262649536,-34.528236389160156,-5.498143196105957
1524.0,-1.0027002096176147,-34.461334228515625,-5.487640380859375
1524.1,-1.0091429948806763,-34.4150505065918,-5.504736423492432
1524.2,-1.0203709602355957,-34.326560974121094,-5.51413631439209
1524.3,-1.031402587890625,-34.291011810302734,-5.500043869018555
1524.4,-1.03761887550354,-34.296993255615234,-5.515153408050537
1524.5,-1.0449596643447876,-34.253299713134766,-5.530059814453125
1524.6,-1.0524502992630005,-34.26893615722656,-5.514263153076172
1524.7,-1.0534629821777344,-34.37761688232422,-5.517825126647949
1524.8,-1.0504604578018188,-34.4127311706543,-5.529421806335449
1524.9,-1.051378607749939,-34.367645263671875,-5.51820707321167
1525.0,-1.0498088598251343,-34.31793212890625,-5.519480228424072
1525.1,-1.045310139656067,-34.289390563964844,-5.528528690338135
1525.2,-1.0477193593978882,-34.36405563354492,-5.5378522872924805
1525.3,-1.0532137155532837,-34.439266204833984,-5.526487827301025
1525.4,-1.0519208908081055,-34.44546127319336,-5.536573886871338
1525.5,-1.0512884855270386,-34.53849792480469,-5.543993949890137
1525.6,-1.0525964498519897,-34.53699493408203,-5.532996654510498
1525.7,-1.0484657287597656,-34.481204986572266,-5.5328688621521
1525.8,-1.042085886001587,-34.47911071777344,-5.528656482696533
1525.9,-1.0375381708145142,-34.36788558959961,-5.52750825881958
1526.0,-1.0347450971603394,-34.20916748046875,-5.512864589691162
1526.1,-1.0297423601150513,-34.180049896240234,-5.516807556152344
1526.2,-1.0274543762207031,-34.302066802978516,-5.522408962249756
1526.3,-1.0288290977478027,-34.35840606689453,-5.500931262969971
1526.4,-1.0264147520065308,-34.35041809082031,-5.497256278991699
1526.5,-1.0258686542510986,-34.38617706298828,-5.501184940338135
1526.6,-1.024293065071106,-34.440330505371094,-5.489283561706543
1526.7,-1.0177823305130005,-34.47962951660156,-5.482461452484131
1526.8,-1.0100781917572021,-34.45209884643555,-5.484102725982666
1526.9,-1.0046693086624146,-34.371437072753906,-5.479559421539307
1527.0,-0.999534547328949,-34.332725524902344,-5.45665979385376
1527.1,-0.9933146238327026,-34.35285568237305,-5.461556911468506
1527.2,-0.9898943305015564,-34.38766098022461,-5.459672927856445
1527.3,-0.9882287979125977,-34.37802505493164,-5.45389986038208
1527.4,-0.9847398400306702,-34.37868118286133,-5.444504261016846
1527.5,-0.9831647276878357,-34.403045654296875,-5.4560322761535645
1527.6,-0.9855857491493225,-34.40858840942383,-5.453272819519043
1527.7,-0.9871708750724792,-34.41118621826172,-5.4492621421813965
1527.8,-0.9880247712135315,-34.459896087646484,-5.456785202026367
1527.9,-0.9892557263374329,-34.459747314453125,-5.462436199188232
1528.0,-0.9903074502944946,-34.392913818359375,-5.461682319641113
1528.1,-0.9889165163040161,-34.415767669677734,-5.44775915145874
1528.2,-0.9865292906761169,-34.48409652709961,-5.45615816116333
1528.3,-0.9865682125091553,-34.50807189941406,-5.4574127197265625
1528.4,-0.9856470227241516,-34.581703186035156,-5.446882724761963
1528.5,-0.9830536842346191,-34.56848907470703,-5.462184906005859
1528.6,-0.984998345375061,-34.48696517944336,-5.474264144897461
1528.7,-0.9900965094566345,-34.404476165771484,-5.477667331695557
1528.8,-0.9910357594490051,-34.33924102783203,-5.477667331695557
1528.9,-0.9928574562072754,-34.404964447021484,-5.488651275634766
1529.0,-0.998445987701416,-34.50199890136719,-5.497763156890869
1529.1,-1.0017873048782349,-34.53920364379883,-5.485113143920898
1529.2,-1.0015945434570312,-34.499996185302734,-5.492319107055664
1529.3,-1.0035111904144287,-34.45494842529297,-5.499790668487549
1529.4,-1.0070221424102783,-34.4150276184082,-5.483850479125977
1529.5,-1.0101051330566406,-34.38883590698242,-5.481451511383057
1529.6,-1.013211727142334,-34.443809509277344,-5.49219274520874
1529.7,-1.0157465934753418,-34.51351547241211,-5.476154327392578
1529.8,-1.0160571336746216,-34.500431060791016,-5.470485687255859
1529.9,-1.019129753112793,-34.41319274902344,-5.485871315002441
1530.0,-1.0223239660263062,-34.40932083129883,-5.482587814331055
1530.1,-1.020264983177185,-34.482933044433594,-5.466585159301758
1530.2,-1.019460916519165,-34.531253814697266,-5.475272178649902
1530.3,-1.0191758871078491,-34.48111343383789,-5.483345031738281
1530.4,-1.0137851238250732,-34.49836349487305,-5.461808204650879
1530.5,-1.0069694519042969,-34.60944366455078,-5.457789421081543
1530.6,-1.0021247863769531,-34.671653747558594,-5.462184906005859
1530.7,-0.9981691241264343,-34.71427917480469,-5.447383403778076
1530.8,-0.9911943674087524,-34.711463928222656,-5.424030303955078
1530.9,-0.9850948452949524,-34.698326110839844,-5.4392523765563965
1531.0,-0.9840571880340576,-34.68768310546875,-5.431260108947754
1531.1,-0.9841594696044922,-34.63732147216797,-5.418429374694824
1531.2,-0.9805010557174683,-34.53242874145508,-5.418802261352539
1531.3,-0.9803754091262817,-34.569637298583984,-5.4245285987854
1531.4,-0.9812278747558594,-34.62800216674805,-5.405511856079102
1531.5,-0.9757852554321289,-34.55549240112305,-5.406504154205322
1531.6,-0.9709610939025879,-34.52671813964844,-5.416936874389648
1531.7,-0.9679615497589111,-34.434349060058594,-5.40402364730835
1531.8,-0.9618310332298279,-34.38075637817383,-5.400182723999023
1531.9,-0.9595102071762085,-34.448822021484375,-5.4219136238098145
1532.0,-0.9641350507736206,-34.54994201660156,-5.422784805297852
1532.1,-0.9701048731803894,-34.61722946166992,-5.415071964263916
1532.2,-0.9776447415351868,-34.633995056152344,-5.4300127029418945
1532.3,-0.9855719208717346,-34.610191345214844,-5.437627792358398
1532.4,-0.9894325137138367,-34.568687438964844,-5.423656463623047
1532.5,-0.9892343282699585,-34.581661224365234,-5.431884288787842
1532.6,-0.9887376427650452,-34.614952087402344,-5.450640678405762
1532.7,-0.9924001693725586,-34.551578521728516,-5.437752723693848
1532.8,-0.9911990165710449,-34.48935317993164,-5.431509971618652
1532.9,-0.9908310770988464,-34.5625114440918,-5.449763298034668
1533.0,-0.992255449295044,-34.570465087890625,-5.4408769607543945
1533.1,-0.9907206296920776,-34.44709777832031,-5.433880805969238
1533.2,-0.9906110763549805,-34.37321472167969,-5.441502094268799
1533.3,-0.9917579889297485,-34.3506965637207,-5.447634220123291
1533.4,-0.9898932576179504,-34.38649368286133,-5.42677116394043
1533.5,-0.9870404005050659,-34.49533462524414,-5.440001487731934
1533.6,-0.9878484606742859,-34.47407531738281,-5.448636054992676
1533.7,-0.9857469201087952,-34.488319396972656,-5.442002296447754
1533.8,-0.9804449677467346,-34.586421966552734,-5.439876556396484
1533.9,-0.9775227904319763,-34.61367416381836,-5.440127372741699
1534.0,-0.9770796298980713,-34.570838928222656,-5.433631420135498
1534.1,-0.9739723801612854,-34.50032424926758,-5.419673442840576
1534.2,-0.9694958925247192,-34.48041915893555,-5.433756351470947
1534.3,-0.9691442251205444,-34.491058349609375,-5.427893161773682
1534.4,-0.9663444757461548,-34.583091735839844,-5.432258605957031
1534.5,-0.9626390933990479,-34.62749481201172,-5.428017616271973
1534.6,-0.9624624848365784,-34.60259246826172,-5.439752101898193
1534.7,-0.9652962684631348,-34.645042419433594,-5.439627170562744
1534.8,-0.967126727104187,-34.626853942871094,-5.441126823425293
1534.9,-0.9701428413391113,-34.484527587890625,-5.455906867980957
1535.0,-0.9748280048370361,-34.533897399902344,-5.444004058837891
1535.1,-0.9765786528587341,-34.621761322021484,-5.455405235290527
1535.2,-0.9796279072761536,-34.54707717895508,-5.45703649520874
1535.3,-0.982914388179779,-34.5422248840332,-5.460928440093994
1535.4,-0.9827235341072083,-34.62809753417969,-5.453022003173828
1535.5,-0.9833759665489197,-34.679893493652344,-5.4652018547058105
1535.6,-0.988487184047699,-34.59432601928711,-5.470611572265625
1535.7,-0.9943014979362488,-34.57353210449219,-5.4652018547058105
1535.8,-0.999805212020874,-34.666690826416016,-5.469352722167969
1535.9,-1.0090633630752563,-34.645355224609375,-5.48713493347168
1536.0,-1.0147517919540405,-34.61450958251953,-5.48814582824707
1536.1,-1.0150591135025024,-34.60630416870117,-5.48069429397583
1536.2,-1.0174401998519897,-34.6395149230957,-5.494470596313477
1536.3,-1.0196118354797363,-34.708560943603516,-5.491559982299805
1536.4,-1.0171090364456177,-34.7120361328125,-5.481072902679443
1536.5,-1.0173524618148804,-34.65602493286133,-5.485365867614746
1536.6,-1.0225989818572998,-34.5906982421875,-5.4932050704956055
1536.7,-1.026275396347046,-34.61713409423828,-5.47804594039917
1536.8,-1.029616117477417,-34.61944580078125,-5.477036952972412
1536.9,-1.036110758781433,-34.5870361328125,-5.494091033935547
1537.0,-1.0413093566894531,-34.56058120727539,-5.4929518699646
1537.1,-1.0402847528457642,-34.498077392578125,-5.4872612953186035
1537.2,-1.0388200283050537,-34.448062896728516,-5.48713493347168
1537.3,-1.0345737934112549,-34.41270446777344,-5.493964195251465
1537.4,-1.022812843322754,-34.459716796875,-5.459672927856445
1537.5,-1.0111616849899292,-34.54880905151367,-5.458542823791504
1537.6,-1.0017706155776978,-34.53652572631836,-5.45954704284668
1537.7,-0.9955098628997803,-34.501251220703125,-5.439752101898193
1537.8,-0.9861476421356201,-34.54959487915039,-5.419300079345703
1537.9,-0.9803904891014099,-34.6676139831543,-5.429763317108154
1538.0,-0.9792611002922058,-34.79063034057617,-5.411717414855957
1538.1,-0.9722467064857483,-34.78899002075195,-5.397582054138184
1538.2,-0.9665426015853882,-34.759220123291016,-5.41532039642334
1538.3,-0.9640371203422546,-34.68539810180664,-5.402660369873047
1538.4,-0.9578756093978882,-34.63814926147461,-5.386702060699463
1538.5,-0.9520273804664612,-34.71466827392578,-5.391767501831055
1538.6,-0.9506145119667053,-34.75924301147461,-5.404395580291748
1538.7,-0.9491865634918213,-34.697139739990234,-5.382751941680908
1538.8,-0.9463121891021729,-34.606964111328125,-5.396096706390381
1538.9,-0.9464190602302551,-34.59300231933594,-5.4058837890625
1539.0,-0.9483046531677246,-34.56248092651367,-5.390531539916992
1539.1,-0.9473457336425781,-34.55059814453125,-5.384726524353027
1539.2,-0.9475431442260742,-34.57991409301758,-5.410599708557129
1539.3,-0.9486885666847229,-34.59150314331055,-5.4006781578063965
1539.4,-0.9460545778274536,-34.58918380737305,-5.388060569763184
1539.5,-0.9455168843269348,-34.602264404296875,-5.41184139251709
1539.6,-0.945730984210968,-34.636680603027344,-5.404643535614014
1539.7,-0.9436248540878296,-34.60090637207031,-5.393375396728516
1539.8,-0.9426229596138,-34.61100387573242,-5.405635833740234
1539.9,-0.9453697800636292,-34.746376037597656,-5.419673442840576
1540.0,-0.9490830302238464,-34.85211181640625,-5.404147624969482
1540.1,-0.9536727070808411,-34.8297233581543,-5.418056011199951
1540.2,-0.9604738354682922,-34.82538986206055,-5.419921875
1540.3,-0.9652804732322693,-34.81292724609375,-5.411717414855957
1540.4,-0.9664598703384399,-34.742149353027344,-5.412835121154785
1540.5,-0.9662870168685913,-34.72260284423828,-5.4352545738220215
1540.6,-0.970206081867218,-34.74489974975586,-5.42677116394043
1540.7,-0.9732512831687927,-34.737796783447266,-5.410848140716553
1540.8,-0.975235641002655,-34.71963119506836,-5.4393768310546875
1540.9,-0.9794947504997253,-34.64137649536133,-5.425026893615723
1541.0,-0.9772011041641235,-34.721500396728516,-5.417060852050781
1541.1,-0.974246084690094,-34.78089904785156,-5.425026893615723
1541.2,-0.9748789668083191,-34.783267974853516,-5.426522254943848
1541.3,-0.9760280847549438,-34.89657974243164,-5.4058837890625
1541.4,-0.9754071831703186,-35.008907318115234,-5.421290874481201
1541.5,-0.9770774245262146,-34.91254425048828,-5.432258605957031
1541.6,-0.9775691032409668,-34.78382873535156,-5.420793056488037
1541.7,-0.9792970418930054,-34.68440246582031,-5.428641319274902
1541.8,-0.9844148755073547,-34.607845306396484,-5.443878650665283
1541.9,-0.9867404699325562,-34.61014175415039,-5.429264545440674
1542.0,-0.9864941239356995,-34.63914489746094,-5.431135654449463
1542.1,-0.9865662455558777,-34.6149787902832,-5.448760986328125
