Wavelength(nm),Slot0Ch1,Slot0Ch3
1500.0,0.037790000438690186,63.43878936767578
1500.1,0.034790001809597015,32.07341003417969
1500.2,0.027089999988675117,7.494259834289551
1500.3,0.02443999983370304,6.339280128479004
1500.4,0.0203000009059906,4.2983598709106445
1500.5,0.014929999597370625,32.26976013183594
1500.6,0.01083999965339899,60.73653030395508
1500.7,0.015350000001490116,41.403629302978516
1500.8,0.011300000362098217,11.217960357666016
1500.9,0.011339999735355377,11.334320068359375
1501.0,0.01001999992877245,37.92375946044922
1501.1,0.002570000011473894,62.2794303894043
1501.2,0.007739999797195196,66.1307373046875
1501.3,0.0062699997797608376,65.71318054199219
1501.4,0.015960000455379486,65.91295623779297
1501.5,0.02466999925673008,39.298770904541016
1501.6,0.02264999970793724,34.89067840576172
1501.7,0.018769999966025352,60.32011032104492
1501.8,0.020989999175071716,64.90351867675781
1501.9,0.0142000000923872,63.86574935913086
1502.0,0.014999999664723873,62.26319122314453
1502.1,0.015209999866783619,63.77534103393555
1502.2,0.015850000083446503,65.77120971679688
1502.3,0.014229999855160713,64.72453308105469
1502.4,0.010569999925792217,64.70765686035156
1502.5,0.010130000300705433,64.76616668701172
1502.6,0.010540000163018703,64.26986694335938
1502.7,0.012659999541938305,64.7081069946289
1502.8,0.008469999767839909,65.59784698486328
1502.9,0.006310000084340572,66.32462310791016
1503.0,0.010529999621212482,65.50052642822266
1503.1,0.007969999685883522,65.9315185546875
1503.2,0.009290000423789024,65.50984191894531
1503.3,0.009109999984502792,38.036800384521484
1503.4,0.004490000195801258,37.109249114990234
1503.5,0.006370000075548887,65.06746673583984
1503.6,0.005750000011175871,66.5250473022461
1503.7,0.0032500000670552254,39.349281311035156
1503.8,0.002959999954327941,8.097350120544434
1503.9,0.001120000029914081,36.256919860839844
1504.0,1.9999999494757503e-05,64.37529754638672
1504.1,0.0005000000237487257,65.5110092163086
1504.2,0.008700000122189522,65.00518798828125
1504.3,0.017890000715851784,65.59423828125
1504.4,0.023649999871850014,66.31098175048828
1504.5,0.022350000217556953,63.987239837646484
1504.6,0.02143000066280365,63.329261779785156
1504.7,0.014550000429153442,64.57235717773438
1504.8,0.007340000011026859,64.41239929199219
1504.9,0.002730000065639615,64.18919372558594
1505.0,0.0035200000274926424,38.73731994628906
1505.1,0.0032099999953061342,36.98276901245117
1505.2,0.001339999958872795,64.52854919433594
1505.3,0.004519999958574772,65.22712707519531
1505.4,-0.0015899999998509884,65.03341674804688
1505.5,9.999999747378752e-06,65.12886810302734
1505.6,-0.0034199999645352364,64.42835998535156
1505.7,-0.0014900000533089042,36.01502990722656
1505.8,0.0004299999854993075,36.61967086791992
1505.9,0.013330000452697277,36.97201156616211
1506.0,0.0261400006711483,37.608028411865234
1506.1,0.029769999906420708,66.33853149414062
1506.2,0.021250000223517418,62.664791107177734
1506.3,0.017170000821352005,34.95011901855469
1506.4,0.008820000104606152,35.9481315612793
1506.5,0.0035800000187009573,64.33972930908203
1506.6,0.0031399999279528856,63.407108306884766
1506.7,0.011850000359117985,62.63185119628906
1506.8,0.021640000864863396,63.84690856933594
1506.9,0.024650000035762787,65.49500274658203
1507.0,0.022549999877810478,64.93231964111328
1507.1,0.01909000054001808,66.6079330444336
1507.2,0.014519999735057354,67.11358642578125
1507.3,0.01039000041782856,65.83605194091797
1507.4,0.016510000452399254,63.85892105102539
1507.5,0.023730000481009483,38.956581115722656
1507.6,0.029810000211000443,12.778989791870117
1507.7,0.03373999893665314,36.44615936279297
1507.8,0.032829999923706055,64.68135833740234
1507.9,0.024089999496936798,42.925018310546875
1508.0,0.021880000829696655,42.10792922973633
1508.1,0.020479999482631683,63.232120513916016
1508.2,0.017710000276565552,65.2005615234375
1508.3,0.01679999940097332,65.85810089111328
1508.4,0.016429999843239784,66.50569152832031
1508.5,0.014840000309050083,66.4431381225586
1508.6,0.016720000654459,66.35045623779297
1508.7,0.01054999977350235,66.50057220458984
1508.8,0.0021800000686198473,67.03231048583984
1508.9,0.0030799999367445707,67.3253402709961
1509.0,-0.003010000102221966,37.1273307800293
1509.1,-0.003160000080242753,37.191829681396484
1509.2,-0.0008900000248104334,39.90449142456055
1509.3,0.001449999981559813,39.7688102722168
1509.4,0.007309999782592058,40.33245086669922
1509.5,0.02119000069797039,41.916500091552734
1509.6,0.02346000075340271,66.8861312866211
1509.7,0.027470000088214874,66.18756103515625
1509.8,0.034790001809597015,64.1872787475586
1509.9,0.032600000500679016,63.70227813720703
1510.0,0.03573000058531761,64.81466674804688
1510.1,0.03373999893665314,64.77262878417969
1510.2,0.038440000265836716,64.62764739990234
1510.3,0.035930000245571136,65.51663208007812
1510.4,0.03147999942302704,63.38473129272461
1510.5,0.030579999089241028,35.075340270996094
1510.6,0.03232000023126602,3.817460060119629
1510.7,0.036990001797676086,7.592810153961182
1510.8,0.032349999994039536,37.377079010009766
1510.9,0.032839998602867126,64.06681060791016
1511.0,0.03440000116825104,63.81924819946289
1511.1,0.03092999942600727,63.60982894897461
1511.2,0.03375000134110451,64.28913116455078
1511.3,0.026580000296235085,65.81166076660156
1511.4,0.01882999949157238,63.515960693359375
1511.5,0.011130000464618206,59.42802047729492
1511.6,0.005030000116676092,37.06232833862305
1511.7,0.00031999999191612005,40.70730972290039
1511.8,-0.0020600000862032175,63.78739929199219
1511.9,-0.0012700000079348683,35.542991638183594
1512.0,0.002240000059828162,19.89211082458496
1512.1,0.009970000013709068,51.464378356933594
1512.2,0.012380000203847885,67.67890930175781
1512.3,0.020109999924898148,67.64037322998047
